                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56799,                0.92699,                 1.0637,                 0.9642,                0.94231,                0.97316,                0.84369,                0.52448,                0.34001,                 1.0489,              0.0033328,              0.0033328,              0.0033328
                      2,                0.56049,                0.89769,                 1.0592,                   0.96,                0.93805,                0.97042,                 0.8379,                0.52371,                0.34661,                 1.0476,              0.0063329,              0.0063329,              0.0063329
                      3,                0.58791,                0.95401,                 1.0697,                0.95785,                0.93056,                0.96662,                0.82447,                0.55302,                0.39703,                  1.085,              0.0089996,              0.0089996,              0.0089996
                      4,                0.61213,                  1.022,                 1.0886,                0.95705,                0.92977,                0.96618,                0.82601,                0.55065,                0.38986,                 1.0785,                 0.0085,                 0.0085,                 0.0085
                      5,                 0.6053,                 0.9936,                 1.0826,                0.96161,                0.93268,                0.96818,                0.83064,                0.54924,                0.38406,                 1.0749,                  0.008,                  0.008,                  0.008
                      6,                0.59912,                0.98325,                 1.0804,                0.95787,                0.93714,                0.96955,                0.83432,                0.54467,                0.36567,                 1.0753,                 0.0075,                 0.0075,                 0.0075
                      7,                0.59084,                0.96608,                 1.0761,                0.96558,                0.93585,                 0.9703,                0.83545,                0.54193,                0.36351,                 1.0677,                  0.007,                  0.007,                  0.007
                      8,                0.58716,                0.95384,                  1.075,                 0.9595,                0.94032,                0.97072,                0.83831,                0.54139,                0.36061,                 1.0672,                 0.0065,                 0.0065,                 0.0065
                      9,                0.57942,                0.93612,                  1.069,                0.96168,                0.94193,                0.97221,                0.84301,                 0.5325,                0.35166,                 1.0605,                  0.006,                  0.006,                  0.006
                     10,                0.57191,                0.91212,                 1.0651,                0.96728,                0.93991,                0.97273,                0.84385,                0.52726,                0.34234,                 1.0547,                 0.0055,                 0.0055,                 0.0055
                     11,                0.47932,                0.43147,                 1.0534,                0.96773,                0.94377,                0.97378,                0.84976,                0.51822,                0.32606,                 1.0446,                  0.005,                  0.005,                  0.005
                     12,                0.46592,                 0.4034,                 1.0439,                0.96929,                0.94444,                0.97447,                0.85466,                0.50649,                0.31698,                 1.0315,                 0.0045,                 0.0045,                 0.0045
                     13,                0.45276,                0.38861,                  1.036,                 0.9665,                0.94893,                0.97482,                0.85727,                0.50002,                 0.3104,                 1.0243,                  0.004,                  0.004,                  0.004
                     14,                0.44172,                0.36939,                 1.0277,                0.96781,                0.94871,                0.97535,                0.86004,                0.49401,                0.30523,                  1.017,                 0.0035,                 0.0035,                 0.0035
                     15,                0.43192,                0.35436,                  1.023,                0.96996,                0.94752,                0.97588,                0.86197,                0.48921,                0.30218,                 1.0108,                  0.003,                  0.003,                  0.003
                     16,                0.41961,                0.34084,                 1.0156,                0.96884,                0.94881,                0.97596,                0.86366,                0.48513,                0.30033,                 1.0064,                 0.0025,                 0.0025,                 0.0025
                     17,                0.40822,                0.32154,                 1.0073,                0.97109,                0.94815,                0.97601,                0.86465,                0.48325,                0.29795,                  1.005,                  0.002,                  0.002,                  0.002
                     18,                0.39879,                0.30963,                 1.0023,                0.96799,                0.95143,                0.97627,                0.86575,                0.48091,                 0.2957,                 1.0029,                 0.0015,                 0.0015,                 0.0015
                     19,                0.38638,                0.29682,                0.99579,                0.96928,                0.95056,                0.97648,                0.86671,                0.47886,                0.29389,                 1.0007,                  0.001,                  0.001,                  0.001
                     20,                0.37573,                0.28038,                0.98799,                0.96852,                0.95096,                 0.9766,                0.86785,                0.47698,                 0.2921,                0.99865,             0.00050005,             0.00050005,             0.00050005
