                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52688,                0.65995,                0.99919,                0.95774,                0.93558,                0.96765,                0.83671,                0.54454,                0.37049,                0.98213,              0.0033325,              0.0033325,              0.0033325
                      2,                0.54361,                0.69788,                 1.0042,                0.94483,                0.91793,                0.95887,                 0.8227,                0.54747,                0.40354,                0.99068,              0.0065996,              0.0065996,              0.0065996
                      3,                0.58965,                0.79376,                 1.0255,                0.94495,                0.90874,                0.95667,                0.81093,                0.56686,                0.45322,                 1.0321,              0.0098002,              0.0098002,              0.0098002
                      4,                0.61753,                0.87637,                 1.0405,                0.94411,                0.90626,                0.95477,                0.80307,                 0.5916,                0.48056,                 1.0379,              0.0097015,              0.0097015,              0.0097015
                      5,                0.62041,                0.88733,                  1.042,                0.94081,                0.91387,                0.95457,                0.80693,                0.57275,                0.45413,                 1.0231,               0.009602,               0.009602,               0.009602
                      6,                0.62056,                0.88831,                 1.0445,                0.95113,                0.91045,                0.95608,                 0.8043,                0.58255,                0.44897,                 1.0254,              0.0095025,              0.0095025,              0.0095025
                      7,                0.61192,                 0.8758,                 1.0408,                0.94802,                0.91102,                0.95822,                0.80911,                0.55144,                0.42296,                  1.017,               0.009403,               0.009403,               0.009403
                      8,                0.61362,                0.86524,                   1.04,                0.95278,                 0.9161,                   0.96,                0.81881,                0.56623,                0.42542,                 1.0147,              0.0093035,              0.0093035,              0.0093035
                      9,                0.60896,                0.86138,                 1.0385,                0.94605,                0.92685,                0.96331,                0.82312,                0.55985,                0.41564,                 1.0065,               0.009204,               0.009204,               0.009204
                     10,                0.60678,                0.84874,                 1.0366,                0.95659,                0.92921,                0.96487,                0.82804,                0.54044,                0.39521,                0.99108,              0.0091045,              0.0091045,              0.0091045
                     11,                0.59979,                0.84043,                 1.0326,                0.95465,                 0.9248,                0.96497,                0.83006,                0.53638,                0.39633,                0.98785,               0.009005,               0.009005,               0.009005
