                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43412,                0.51925,                0.95628,                0.94677,                0.92273,                0.95622,                0.84013,                0.50788,                0.37544,                0.96034,              0.0033326,              0.0033326,              0.0033326
                      2,                 0.4818,                0.60513,                0.97455,                0.93507,                0.91266,                0.94918,                0.82141,                0.54447,                0.44351,                0.99983,              0.0066217,              0.0066217,              0.0066217
                      3,                0.56244,                 0.7487,                 1.0099,                0.92599,                0.88943,                0.94505,                0.79418,                0.58202,                0.49881,                 1.0414,              0.0098666,              0.0098666,              0.0098666
                      4,                0.62481,                0.87886,                 1.0443,                0.92811,                  0.892,                0.94358,                0.79581,                0.58801,                0.50301,                  1.033,               0.009801,               0.009801,               0.009801
                      5,                0.62265,                0.87234,                  1.043,                0.92241,                0.89097,                0.93595,                0.78992,                0.60086,                0.52005,                 1.0459,              0.0097347,              0.0097347,              0.0097347
                      6,                 0.6218,                0.86493,                 1.0435,                0.93352,                0.88851,                0.94466,                0.80151,                0.59316,                 0.4923,                 1.0389,              0.0096683,              0.0096683,              0.0096683
                      7,                0.61088,                0.84867,                 1.0383,                0.93648,                0.89852,                0.94963,                0.80917,                0.56992,                0.46772,                 1.0192,               0.009602,               0.009602,               0.009602
                      8,                0.60836,                0.83909,                 1.0357,                0.93691,                 0.9119,                0.95296,                0.81142,                0.57504,                0.43653,                 1.0237,              0.0095357,              0.0095357,              0.0095357
                      9,                 0.6042,                0.83577,                 1.0361,                0.93299,                0.90838,                0.94835,                0.81234,                0.56113,                0.45065,                 1.0125,              0.0094693,              0.0094693,              0.0094693
                     10,                 0.6007,                0.81961,                 1.0321,                0.94384,                0.90685,                0.95912,                0.82751,                0.54698,                0.41618,                0.99225,               0.009403,               0.009403,               0.009403
                     11,                 0.6006,                0.81873,                  1.033,                0.94489,                0.92088,                0.96176,                0.83134,                0.54935,                0.39697,                 0.9889,              0.0093367,              0.0093367,              0.0093367
                     12,                0.59565,                0.81034,                 1.0302,                 0.9484,                0.92147,                0.96214,                 0.8298,                0.54777,                0.39183,                0.98965,              0.0092703,              0.0092703,              0.0092703
                     13,                0.59202,                 0.8014,                 1.0293,                0.95075,                0.91952,                0.96298,                0.83052,                0.55258,                 0.3868,                0.99339,               0.009204,               0.009204,               0.009204
                     14,                0.58857,                0.80461,                 1.0263,                0.95016,                0.91876,                0.96184,                0.83328,                0.53584,                0.38199,                0.98072,              0.0091377,              0.0091377,              0.0091377
                     15,                0.58694,                0.78917,                 1.0273,                0.95124,                0.92447,                0.96613,                 0.8366,                0.54066,                0.37637,                0.98447,              0.0090713,              0.0090713,              0.0090713
                     16,                0.57953,                0.77674,                 1.0233,                0.95013,                0.92232,                0.96262,                0.83884,                0.52424,                0.37438,                0.96664,               0.009005,               0.009005,               0.009005
                     17,                0.57887,                0.78038,                 1.0218,                0.95277,                 0.9225,                0.96347,                0.83919,                0.52281,                0.37073,                0.96492,              0.0089387,              0.0089387,              0.0089387
                     18,                0.58225,                 0.7755,                 1.0207,                0.94831,                0.92646,                0.96368,                0.83859,                0.53186,                0.36781,                0.97259,              0.0088723,              0.0088723,              0.0088723
                     19,                0.57563,                0.76774,                   1.02,                0.94994,                0.92579,                  0.963,                0.83952,                0.52206,                0.36647,                0.96815,               0.008806,               0.008806,               0.008806
                     20,                    inf,                0.76886,                  1.019,                0.94642,                0.92825,                0.96144,                0.83932,                0.52119,                0.36469,                0.96466,              0.0087397,              0.0087397,              0.0087397
                     21,                 0.5758,                0.76521,                 1.0207,                0.95314,                0.92448,                 0.9627,                0.84062,                0.52019,                0.36376,                0.96382,              0.0086733,              0.0086733,              0.0086733
                     22,                0.56809,                0.75925,                 1.0171,                0.95605,                0.92559,                0.96424,                0.84198,                0.52294,                0.35894,                0.96683,               0.008607,               0.008607,               0.008607
                     23,                0.56759,                0.75645,                 1.0159,                0.95364,                0.92651,                0.96429,                0.84244,                0.52226,                0.35779,                0.96628,              0.0085407,              0.0085407,              0.0085407
                     24,                0.56639,                0.75962,                 1.0174,                0.95253,                0.92874,                0.96478,                 0.8433,                0.51855,                0.35546,                0.96222,              0.0084743,              0.0084743,              0.0084743
                     25,                0.56367,                 0.7503,                 1.0141,                0.95529,                0.92691,                0.96494,                 0.8435,                0.51904,                0.35348,                0.96246,               0.008408,               0.008408,               0.008408
                     26,                0.56747,                0.75364,                 1.0173,                0.95358,                0.93019,                0.96615,                0.84437,                0.51905,                0.34904,                0.96207,              0.0083417,              0.0083417,              0.0083417
                     27,                0.56301,                0.74918,                 1.0143,                0.95295,                0.93049,                0.96569,                0.84436,                  0.519,                0.34983,                0.96184,              0.0082753,              0.0082753,              0.0082753
