                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.30868,                0.87432,                 1.0266,                0.91898,                0.88846,                0.94268,                0.81317,                0.48076,                 0.3791,                 1.0027,              5.298e-05,              5.298e-05,              5.298e-05
                      2,                0.30178,                0.85278,                  1.022,                0.90944,                0.86736,                0.93344,                0.79849,                0.49759,                0.40959,                 1.0437,             0.00010073,             0.00010073,             0.00010073
                      3,                0.31315,                0.87949,                 1.0263,                0.89014,                0.85883,                0.92314,                0.78828,                0.49287,                0.43872,                 1.0413,             0.00014324,             0.00014324,             0.00014324
                      4,                0.31711,                0.90675,                 1.0325,                 0.9071,                 0.8791,                0.92916,                0.79803,                0.47166,                0.39616,                 1.0078,             0.00013539,             0.00013539,             0.00013539
                      5,                0.32169,                0.90595,                 1.0325,                0.91904,                0.86675,                0.92784,                0.79501,                0.48592,                 0.3756,                 1.0304,             0.00012752,             0.00012752,             0.00012752
                      6,                0.32955,                0.98675,                 1.0411,                0.90855,                0.86751,                0.93112,                0.80186,                0.47581,                0.38089,                 1.0019,             0.00011965,             0.00011965,             0.00011965
                      7,                0.32812,                0.95507,                 1.0384,                 0.9256,                0.88298,                 0.9447,                0.81215,                0.48199,                0.37852,                0.99587,             0.00011178,             0.00011178,             0.00011178
                      8,                0.32583,                0.92954,                 1.0353,                0.92832,                0.88643,                0.94651,                0.81345,                0.46047,                 0.3664,                0.97492,             0.00010391,             0.00010391,             0.00010391
                      9,                   0.32,                0.90661,                 1.0348,                0.91525,                0.89839,                0.94313,                0.81164,                0.46289,                0.35836,                0.99569,             9.6036e-05,             9.6036e-05,             9.6036e-05
                     10,                0.31406,                0.88469,                 1.0316,                0.92682,                0.90487,                0.95207,                0.83093,                0.43852,                0.32607,                0.96983,             8.8165e-05,             8.8165e-05,             8.8165e-05
                     11,                 0.2568,                0.32889,                 1.0457,                0.93229,                0.91455,                0.95361,                0.83333,                0.44052,                0.31645,                0.94772,             8.0295e-05,             8.0295e-05,             8.0295e-05
                     12,                0.24663,                 0.2966,                 1.0347,                 0.9403,                0.90579,                0.95367,                0.83536,                0.43816,                0.30581,                0.95066,             7.2424e-05,             7.2424e-05,             7.2424e-05
                     13,                0.23642,                0.26936,                 1.0308,                0.93835,                0.91387,                0.95755,                0.83897,                0.42268,                0.30229,                0.93036,             6.4554e-05,             6.4554e-05,             6.4554e-05
                     14,                0.23256,                 0.2588,                 1.0261,                0.93664,                0.91377,                0.95708,                0.84107,                0.43182,                0.30006,                0.93591,             5.6683e-05,             5.6683e-05,             5.6683e-05
                     15,                0.22436,                0.23469,                 1.0177,                0.93955,                0.91153,                0.95805,                0.84273,                0.42276,                 0.2899,                0.91691,             4.8813e-05,             4.8813e-05,             4.8813e-05
                     16,                0.21777,                0.22099,                 1.0106,                0.92885,                0.92213,                0.95762,                 0.8463,                0.41133,                0.27963,                 0.9124,             4.0942e-05,             4.0942e-05,             4.0942e-05
                     17,                0.20843,                0.20572,                 1.0057,                 0.9482,                0.91255,                0.95889,                0.84791,                0.42366,                0.28509,                0.92178,             3.3072e-05,             3.3072e-05,             3.3072e-05
                     18,                0.20605,                0.19787,                 1.0052,                0.94083,                0.92194,                0.95805,                0.84912,                0.40833,                0.27025,                0.90609,             2.5202e-05,             2.5202e-05,             2.5202e-05
                     19,                0.19865,                0.18525,                0.99575,                0.94699,                0.91112,                0.95966,                0.84883,                0.41151,                0.26442,                0.90917,             1.7331e-05,             1.7331e-05,             1.7331e-05
                     20,                    inf,                0.17722,                0.99416,                0.93936,                0.91898,                0.95939,                0.85184,                0.40621,                0.26051,                0.90275,             9.4605e-06,             9.4605e-06,             9.4605e-06
