                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66825,                0.40587,                 0.9527,                0.96097,                0.97069,                0.97173,                0.82907,                0.60506,                0.43249,                0.92938,             5.2967e-05,             5.2967e-05,             5.2967e-05
                      2,                0.68306,                0.43553,                0.95924,                0.96173,                0.95915,                0.97061,                0.82525,                0.61425,                0.44962,                0.93408,             9.5476e-05,             9.5476e-05,             9.5476e-05
                      3,                0.68088,                0.43073,                0.95874,                0.96563,                0.96723,                0.97801,                0.83743,                0.59881,                0.41655,                0.92984,             0.00012749,             0.00012749,             0.00012749
                      4,                0.65627,                0.40487,                0.94808,                0.96322,                0.97132,                0.97793,                0.84461,                0.59791,                0.39836,                0.91458,             0.00011178,             0.00011178,             0.00011178
                      5,                0.63399,                0.37723,                0.93825,                0.97009,                0.97275,                0.98146,                0.85279,                 0.5755,                0.36343,                0.90706,             0.00011178,             0.00011178,             0.00011178
                      6,                0.60016,                 0.3458,                0.92488,                0.97611,                0.97872,                 0.9842,                0.86591,                0.54051,                0.32415,                 0.8898,             9.6036e-05,             9.6036e-05,             9.6036e-05
                      7,                0.56314,                0.31534,                0.91094,                 0.9804,                0.98402,                0.98476,                0.87515,                0.51527,                0.29621,                0.88334,             8.0295e-05,             8.0295e-05,             8.0295e-05
                      8,                0.52678,                0.29003,                0.89706,                 0.9784,                0.98462,                0.98625,                0.88545,                0.48748,                0.26789,                0.87401,             6.4554e-05,             6.4554e-05,             6.4554e-05
                      9,                0.48771,                0.26481,                0.87908,                0.98253,                0.98234,                0.98756,                0.89361,                 0.4688,                0.25984,                0.86578,             4.8813e-05,             4.8813e-05,             4.8813e-05
                     10,                 0.4549,                0.24491,                0.86707,                0.98482,                0.98623,                0.98837,                0.90169,                 0.4448,                0.24082,                0.85591,             3.3072e-05,             3.3072e-05,             3.3072e-05
