                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62266,                0.50884,                0.94486,                0.97631,                0.97856,                0.98622,                0.88472,                 0.4885,                0.29127,                0.87218,             5.2967e-05,             5.2967e-05,             5.2967e-05
                      2,                0.61741,                0.50121,                 0.9398,                0.97154,                0.97425,                0.98514,                0.87607,                0.50645,                0.32843,                0.88446,             0.00010072,             0.00010072,             0.00010072
                      3,                 0.6226,                0.50219,                0.94182,                0.97613,                0.97697,                0.98445,                0.86811,                0.53738,                 0.3281,                0.89855,             0.00014323,             0.00014323,             0.00014323
                      4,                0.62029,                 0.4999,                0.93896,                0.97732,                0.97794,                0.98635,                0.87798,                0.50447,                0.31294,                0.88067,             0.00013539,             0.00013539,             0.00013539
                      5,                0.60901,                0.48804,                0.93506,                0.97637,                0.97985,                0.98524,                0.88103,                0.49771,                0.31274,                0.87629,             0.00013539,             0.00013539,             0.00013539
                      6,                0.59063,                0.46846,                0.92905,                0.97549,                0.97952,                0.98576,                0.88174,                0.49201,                0.30345,                0.87638,             0.00012752,             0.00012752,             0.00012752
                      7,                 0.5792,                0.45672,                0.92452,                0.97916,                0.97749,                0.98691,                0.88398,                0.48444,                0.30109,                0.87747,             0.00011965,             0.00011965,             0.00011965
                      8,                0.56451,                0.44638,                0.92008,                  0.981,                0.98389,                0.98746,                0.88944,                0.47816,                0.27583,                0.87381,             0.00011178,             0.00011178,             0.00011178
                      9,                0.54959,                0.42915,                0.91551,                0.98095,                0.98303,                 0.9878,                0.89863,                0.44598,                0.26834,                0.85887,             0.00010391,             0.00010391,             0.00010391
                     10,                0.53153,                0.41901,                0.90918,                0.98135,                0.98374,                0.98718,                0.89723,                0.45374,                 0.2699,                0.86323,             9.6036e-05,             9.6036e-05,             9.6036e-05
                     11,                0.43478,                0.25035,                0.86028,                0.98564,                0.98303,                0.98848,                0.90751,                0.42046,                0.25186,                0.84816,             8.8165e-05,             8.8165e-05,             8.8165e-05
                     12,                0.41011,                0.23444,                0.85072,                 0.9859,                 0.9855,                0.98919,                0.91108,                0.40953,                0.23532,                0.84761,             8.0295e-05,             8.0295e-05,             8.0295e-05
                     13,                0.39458,                0.22377,                0.84768,                0.98604,                0.98585,                0.98914,                0.91953,                 0.3865,                 0.2205,                0.84098,             7.2424e-05,             7.2424e-05,             7.2424e-05
                     14,                0.37558,                0.21291,                 0.8401,                0.98882,                0.98743,                0.98934,                0.92618,                0.37005,                0.21412,                0.83567,             6.4554e-05,             6.4554e-05,             6.4554e-05
                     15,                0.35867,                0.20485,                0.83256,                0.98944,                0.98928,                0.98982,                0.93056,                0.35447,                0.20183,                0.82869,             5.6683e-05,             5.6683e-05,             5.6683e-05
                     16,                0.34251,                0.19525,                0.82898,                0.98846,                0.98768,                0.99018,                0.93283,                0.34584,                0.20097,                0.82848,             4.8813e-05,             4.8813e-05,             4.8813e-05
                     17,                0.33072,                0.18789,                0.82436,                0.98877,                0.98874,                0.99003,                0.93614,                0.33512,                 0.1921,                0.82446,             4.0942e-05,             4.0942e-05,             4.0942e-05
                     18,                0.31968,                0.17982,                0.82251,                   0.99,                0.98841,                0.99046,                0.93585,                 0.3308,                0.18848,                0.82416,             3.3072e-05,             3.3072e-05,             3.3072e-05
                     19,                0.30735,                 0.1743,                0.81819,                0.98932,                0.98865,                0.99032,                0.94022,                0.32041,                 0.1864,                0.82264,             2.5202e-05,             2.5202e-05,             2.5202e-05
                     20,                0.29391,                 0.1651,                 0.8138,                0.99019,                0.99007,                0.99006,                0.94382,                0.30973,                0.17938,                0.81999,             1.7331e-05,             1.7331e-05,             1.7331e-05
