                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                    inf,                 0.7261,                 1.0109,                0.95852,                0.93663,                0.96845,                0.84283,                 0.5282,                0.36217,                0.97162,               0.002836,               0.002836,               0.002836
                     38,                0.55052,                0.71785,                 1.0099,                0.95937,                 0.9364,                0.96866,                0.84312,                0.52745,                0.36016,                0.97071,               0.002637,               0.002637,               0.002637
                     39,                0.55317,                0.71228,                 1.0114,                0.95916,                0.93673,                0.96861,                0.84311,                0.52715,                 0.3597,                0.97051,               0.002438,               0.002438,               0.002438
                     40,                0.54552,                0.70719,                 1.0069,                0.95945,                0.93681,                0.96868,                0.84334,                0.52664,                0.35921,                0.97011,               0.002239,               0.002239,               0.002239
                     41,                0.51141,                0.39076,                 1.0112,                0.96095,                0.93661,                0.96894,                0.84372,                0.52525,                 0.3572,                 0.9687,                0.00204,                0.00204,                0.00204
                     42,                 0.5026,                0.36955,                 1.0062,                0.96028,                0.93757,                0.96921,                 0.8447,                0.52333,                0.35418,                0.96664,               0.001841,               0.001841,               0.001841
                     43,                0.49453,                0.35931,                  1.001,                0.95973,                0.93819,                0.96938,                 0.8455,                0.52096,                0.35085,                0.96423,               0.001642,               0.001642,               0.001642
                     44,                0.48691,                0.34729,                0.99616,                0.96105,                0.93838,                0.96971,                0.84664,                0.51825,                0.34752,                0.96175,               0.001443,               0.001443,               0.001443
                     45,                0.47829,                0.33851,                0.99361,                 0.9619,                0.93901,                0.96998,                0.84763,                0.51552,                0.34463,                0.95909,               0.001244,               0.001244,               0.001244
                     46,                0.47086,                0.33183,                0.99008,                0.96244,                0.93989,                0.97015,                0.84878,                0.51284,                0.34161,                0.95642,               0.001045,               0.001045,               0.001045
                     47,                0.46416,                0.31952,                0.98473,                0.96209,                0.94027,                0.97028,                0.84935,                0.51052,                0.33851,                0.95411,               0.000846,               0.000846,               0.000846
                     48,                0.45499,                0.31295,                0.97865,                0.96152,                 0.9406,                0.97053,                0.85032,                0.50813,                 0.3357,                0.95182,               0.000647,               0.000647,               0.000647
                     49,                    inf,                0.30591,                 0.9786,                0.96219,                0.94071,                0.97077,                0.85079,                0.50606,                0.33313,                0.94986,               0.000448,               0.000448,               0.000448
                     50,                0.44855,                0.30194,                0.97498,                 0.9625,                0.94132,                0.97084,                0.85135,                  0.504,                0.33084,                0.94791,               0.000249,               0.000249,               0.000249
