                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53359,                0.83582,                 1.0904,                0.93777,                0.86963,                0.92954,                0.77409,                0.61144,                0.59888,                 1.1562,             5.2992e-05,             5.2992e-05,             5.2992e-05
                      2,                 0.5291,                 0.7216,                 1.0886,                 0.9528,                0.88429,                0.93807,                0.78969,                0.57374,                0.52719,                 1.1191,             9.5393e-05,             9.5393e-05,             9.5393e-05
                      3,                0.52667,                0.64558,                 1.0845,                0.95215,                0.90731,                 0.9466,                 0.8046,                0.57072,                0.47295,                 1.1107,             0.00012719,             0.00012719,             0.00012719
                      4,                0.51394,                0.58203,                 1.0759,                0.95517,                 0.9101,                0.95072,                0.81189,                0.55048,                 0.4396,                 1.0897,              0.0001113,              0.0001113,              0.0001113
                      5,                0.49995,                0.52712,                 1.0662,                0.96182,                0.91403,                 0.9546,                 0.8198,                0.53523,                0.41053,                 1.0646,               9.54e-05,               9.54e-05,               9.54e-05
                      6,                0.48598,                0.48878,                 1.0559,                0.96125,                0.91836,                0.95765,                0.82665,                0.53177,                0.39253,                 1.0651,               7.95e-05,               7.95e-05,               7.95e-05
                      7,                0.47579,                 0.4545,                 1.0471,                0.96115,                0.92337,                0.95873,                 0.8298,                0.52573,                0.38155,                 1.0522,               6.36e-05,               6.36e-05,               6.36e-05
                      8,                0.46466,                0.42766,                 1.0405,                 0.9603,                0.92481,                 0.9605,                0.83354,                0.51999,                0.37294,                 1.0443,             4.7701e-05,             4.7701e-05,             4.7701e-05
                      9,                 0.4516,                0.40288,                 1.0327,                0.95694,                0.92903,                0.96014,                0.83315,                0.52106,                0.37294,                 1.0443,             3.1801e-05,             3.1801e-05,             3.1801e-05
                     10,                0.44222,                0.38437,                 1.0262,                0.96491,                0.92478,                0.96024,                0.83466,                0.51677,                0.36555,                 1.0367,             1.5901e-05,             1.5901e-05,             1.5901e-05
