                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65263,                 1.2763,                 1.1141,                0.92726,                0.88494,                0.93635,                0.76848,                0.64675,                0.56264,                 1.2142,              0.0033328,              0.0033328,              0.0033328
                      2,                0.67588,                 1.2822,                 1.1257,                0.93143,                0.87598,                0.93135,                0.75421,                 0.6495,                0.58971,                 1.2186,              0.0062218,              0.0062218,              0.0062218
                      3,                0.70982,                 1.3508,                 1.1431,                0.93107,                0.86678,                 0.9281,                0.74947,                0.67505,                0.62875,                 1.2468,              0.0086663,              0.0086663,              0.0086663
                      4,                0.71238,                 1.3383,                 1.1487,                 0.9355,                0.89196,                0.94124,                0.77431,                0.64608,                0.54693,                 1.1995,                  0.008,                  0.008,                  0.008
                      5,                0.68135,                 1.2209,                 1.1267,                0.94307,                0.90223,                0.94891,                0.78709,                0.63265,                0.51217,                 1.1863,              0.0073333,              0.0073333,              0.0073333
                      6,                0.57254,                0.64828,                 1.1183,                0.95872,                0.91361,                0.95633,                0.81134,                0.58249,                0.42627,                 1.1248,              0.0066667,              0.0066667,              0.0066667
                      7,                0.54774,                0.56656,                 1.0995,                0.96005,                0.92482,                0.96222,                0.82098,                0.56183,                0.38846,                 1.0971,                  0.006,                  0.006,                  0.006
                      8,                0.53398,                0.52767,                 1.0893,                0.96175,                0.93128,                0.96516,                0.82903,                0.54921,                0.37015,                 1.0776,              0.0053334,              0.0053334,              0.0053334
                      9,                0.51531,                0.49019,                 1.0768,                0.96271,                0.93637,                 0.9668,                0.83372,                  0.538,                0.36263,                 1.0668,              0.0046667,              0.0046667,              0.0046667
                     10,                0.50136,                0.45951,                  1.066,                0.96775,                0.93401,                0.96789,                0.83771,                 0.5266,                0.34365,                 1.0515,                  0.004,                  0.004,                  0.004
                     11,                0.49086,                0.43068,                 1.0587,                0.96685,                0.93808,                0.96953,                0.84329,                0.52047,                 0.3378,                 1.0414,              0.0033334,              0.0033334,              0.0033334
                     12,                0.47765,                0.40519,                 1.0491,                0.96741,                0.93868,                0.97011,                0.84354,                0.51699,                0.33018,                  1.039,              0.0026667,              0.0026667,              0.0026667
                     13,                0.46524,                0.38034,                 1.0406,                0.96824,                0.94127,                0.97098,                0.84652,                0.51191,                0.32415,                 1.0325,                  0.002,                  0.002,                  0.002
                     14,                 0.4509,                0.35984,                 1.0324,                0.96967,                0.94244,                0.97139,                 0.8489,                0.50901,                0.32383,                 1.0286,              0.0013334,              0.0013334,              0.0013334
                     15,                0.43668,                0.33514,                 1.0226,                0.96961,                0.94365,                0.97223,                0.85047,                0.50643,                0.32169,                 1.0258,             0.00066671,             0.00066671,             0.00066671
