                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82942,                 3.2845,                 1.1829,                0.74253,                0.46982,                0.54655,                 0.4143,                0.72263,                 2.1819,                 1.2187,              0.0033326,              0.0033326,              0.0033326
                      2,                0.77831,                 2.1187,                 1.1374,                 0.8147,                0.56836,                0.70365,                0.54017,                0.76387,                  1.693,                 1.2309,              0.0066438,              0.0066438,              0.0066438
                      3,                0.79835,                 1.8153,                 1.1389,                0.83965,                0.68488,                0.81335,                0.63135,                0.72822,                 1.2865,                 1.2357,              0.0099329,              0.0099329,              0.0099329
                      4,                0.79044,                 1.5293,                 1.1363,                0.86237,                0.79143,                0.87011,                 0.6867,                0.70319,                0.93114,                 1.1783,              0.0099005,              0.0099005,              0.0099005
                      5,                0.76043,                 1.3348,                 1.1178,                0.90963,                0.83005,                0.90605,                 0.7272,                0.67748,                0.76647,                 1.1355,              0.0098673,              0.0098673,              0.0098673
                      6,                0.74428,                  1.229,                  1.109,                0.90606,                0.82167,                0.90841,                0.73238,                0.66937,                0.71856,                 1.1239,              0.0098342,              0.0098342,              0.0098342
                      7,                 0.7249,                 1.1634,                 1.0988,                0.91164,                0.85352,                0.91617,                0.74268,                0.67543,                0.66516,                 1.1183,               0.009801,               0.009801,               0.009801
                      8,                 0.7171,                 1.1175,                 1.0925,                0.92601,                0.86042,                0.92838,                0.76036,                0.63622,                0.60713,                  1.087,              0.0097678,              0.0097678,              0.0097678
                      9,                0.70701,                 1.0883,                 1.0903,                0.92836,                0.86127,                 0.9269,                0.76102,                0.63403,                0.58721,                 1.0752,              0.0097347,              0.0097347,              0.0097347
                     10,                0.69988,                 1.0522,                 1.0839,                0.92046,                0.88428,                0.93885,                0.77606,                0.61735,                0.54186,                 1.0636,              0.0097015,              0.0097015,              0.0097015
