                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76311,                0.73466,                0.98997,                0.95386,                0.92442,                0.96159,                0.78876,                0.66033,                0.67809,                0.95391,             5.2967e-05,             5.2967e-05,             5.2967e-05
                      2,                0.77832,                0.70155,                0.99892,                0.95038,                 0.9446,                0.96311,                0.80476,                0.63984,                0.57091,                0.95654,              7.974e-05,              7.974e-05,              7.974e-05
                      3,                0.74746,                  0.626,                0.98529,                0.95893,                0.96529,                0.97493,                0.82251,                0.63869,                0.47185,                0.95146,             8.0278e-05,             8.0278e-05,             8.0278e-05
                      4,                0.71749,                0.56354,                0.97269,                0.96749,                0.97447,                0.97894,                 0.8443,                0.59502,                0.39114,                0.91612,             4.0942e-05,             4.0942e-05,             4.0942e-05
