                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.42718,                0.50781,                0.95369,                0.94929,                0.92255,                0.95895,                0.84837,                0.49373,                0.37083,                0.94917,              0.0019996,              0.0019996,              0.0019996
                      2,                0.45266,                0.55279,                 0.9623,                0.94894,                0.91465,                0.95604,                 0.8381,                0.51955,                0.39777,                 0.9652,              0.0039907,              0.0039907,              0.0039907
                      3,                0.48949,                0.61086,                0.97586,                0.94829,                 0.9135,                0.95587,                0.83256,                0.52842,                0.40258,                0.98819,               0.005973,               0.005973,               0.005973
                      4,                0.53187,                0.69246,                0.99806,                0.94067,                0.91655,                0.95915,                0.82738,                0.55653,                0.43756,                 1.0235,              0.0079464,              0.0079464,              0.0079464
                      5,                 0.5897,                0.80991,                 1.0261,                0.94504,                0.90835,                0.95619,                0.81665,                0.57059,                0.43894,                 1.0135,              0.0099109,              0.0099109,              0.0099109
                      6,                0.63638,                0.89688,                 1.0508,                0.93537,                0.90852,                0.95393,                0.81295,                0.56206,                0.43282,                 1.0163,              0.0098892,              0.0098892,              0.0098892
                      7,                0.62921,                0.88835,                 1.0484,                0.94187,                0.90658,                0.95375,                0.81592,                0.57175,                0.43852,                 1.0173,               0.009867,               0.009867,               0.009867
                      8,                0.62761,                0.88184,                 1.0464,                0.94763,                0.91502,                0.96294,                 0.8248,                0.56177,                0.41494,                 1.0095,              0.0098448,              0.0098448,              0.0098448
                      9,                 0.6231,                0.87595,                  1.046,                0.93854,                0.91242,                0.95298,                 0.8182,                0.55455,                0.42392,                0.99668,              0.0098227,              0.0098227,              0.0098227
                     10,                0.62074,                0.85942,                 1.0422,                0.94347,                0.91945,                   0.96,                0.82707,                0.54415,                0.40329,                0.99314,              0.0098005,              0.0098005,              0.0098005
                     11,                0.62209,                0.86212,                  1.044,                 0.9413,                0.91794,                0.95769,                0.82588,                0.55363,                0.40213,                0.99438,              0.0097783,              0.0097783,              0.0097783
                     12,                0.61546,                0.85503,                 1.0396,                0.94081,                0.91524,                0.95697,                0.82574,                0.54532,                0.40938,                0.98558,              0.0097562,              0.0097562,              0.0097562
                     13,                0.61187,                0.84385,                 1.0389,                0.94772,                0.91518,                0.95835,                0.82677,                0.54238,                0.40201,                  0.985,               0.009734,               0.009734,               0.009734
                     14,                0.60999,                0.84605,                 1.0361,                0.94728,                0.92016,                0.96187,                0.83199,                0.53521,                  0.387,                0.98235,              0.0097118,              0.0097118,              0.0097118
                     15,                0.60776,                0.83549,                 1.0365,                0.94821,                0.91832,                0.95961,                0.83124,                0.53555,                0.38822,                0.98041,              0.0096897,              0.0096897,              0.0096897
                     16,                0.60577,                0.82688,                  1.033,                0.94338,                 0.9261,                0.96006,                0.83247,                0.53578,                0.38463,                0.97973,              0.0096675,              0.0096675,              0.0096675
                     17,                0.60378,                0.82561,                 1.0337,                0.95146,                 0.9219,                 0.9624,                0.83452,                0.53507,                0.37959,                0.97961,              0.0096453,              0.0096453,              0.0096453
                     18,                 0.5989,                0.82546,                 1.0315,                0.95563,                0.92299,                0.96404,                0.83651,                0.53259,                0.37175,                0.97523,              0.0096232,              0.0096232,              0.0096232
